source_layer,target_layer,offload_relevant,candidate_count,transfer_bytes,h2d_p95_ms,window_samples,fit_count,fit_rate,meets_95_percent,transition_max_k_95
17,18,True,1,1769488,0.5656239777803421,256,256,1.0,True,2
17,18,True,2,3538976,1.1115567982196808,256,256,1.0,True,2
17,18,True,4,7077952,2.2010097026824953,256,0,0.0,False,2
17,18,True,8,14155904,4.397968077659607,256,0,0.0,False,2
17,18,True,16,28311808,8.797104167938233,256,0,0.0,False,2
17,18,True,24,42467712,13.192707395553589,256,0,0.0,False,2
17,18,True,32,56623616,17.58918981552124,256,0,0.0,False,2
18,19,True,1,1769488,0.5656239777803421,256,256,1.0,True,2
18,19,True,2,3538976,1.1115567982196808,256,256,1.0,True,2
18,19,True,4,7077952,2.2010097026824953,256,0,0.0,False,2
18,19,True,8,14155904,4.397968077659607,256,0,0.0,False,2
18,19,True,16,28311808,8.797104167938233,256,0,0.0,False,2
18,19,True,24,42467712,13.192707395553589,256,0,0.0,False,2
18,19,True,32,56623616,17.58918981552124,256,0,0.0,False,2
19,20,True,1,1769488,0.5656239777803421,256,256,1.0,True,2
19,20,True,2,3538976,1.1115567982196808,256,256,1.0,True,2
19,20,True,4,7077952,2.2010097026824953,256,0,0.0,False,2
19,20,True,8,14155904,4.397968077659607,256,0,0.0,False,2
19,20,True,16,28311808,8.797104167938233,256,0,0.0,False,2
19,20,True,24,42467712,13.192707395553589,256,0,0.0,False,2
19,20,True,32,56623616,17.58918981552124,256,0,0.0,False,2
20,21,True,1,1769488,0.5656239777803421,256,256,1.0,True,2
20,21,True,2,3538976,1.1115567982196808,256,256,1.0,True,2
20,21,True,4,7077952,2.2010097026824953,256,0,0.0,False,2
20,21,True,8,14155904,4.397968077659607,256,0,0.0,False,2
20,21,True,16,28311808,8.797104167938233,256,0,0.0,False,2
20,21,True,24,42467712,13.192707395553589,256,0,0.0,False,2
20,21,True,32,56623616,17.58918981552124,256,0,0.0,False,2
21,22,True,1,1769488,0.5656239777803421,256,256,1.0,True,2
21,22,True,2,3538976,1.1115567982196808,256,256,1.0,True,2
21,22,True,4,7077952,2.2010097026824953,256,0,0.0,False,2
21,22,True,8,14155904,4.397968077659607,256,0,0.0,False,2
21,22,True,16,28311808,8.797104167938233,256,0,0.0,False,2
21,22,True,24,42467712,13.192707395553589,256,0,0.0,False,2
21,22,True,32,56623616,17.58918981552124,256,0,0.0,False,2
22,23,True,1,1769488,0.5656239777803421,256,256,1.0,True,2
22,23,True,2,3538976,1.1115567982196808,256,256,1.0,True,2
22,23,True,4,7077952,2.2010097026824953,256,0,0.0,False,2
22,23,True,8,14155904,4.397968077659607,256,0,0.0,False,2
22,23,True,16,28311808,8.797104167938233,256,0,0.0,False,2
22,23,True,24,42467712,13.192707395553589,256,0,0.0,False,2
22,23,True,32,56623616,17.58918981552124,256,0,0.0,False,2
23,24,True,1,1769488,0.5656239777803421,256,256,1.0,True,2
23,24,True,2,3538976,1.1115567982196808,256,256,1.0,True,2
23,24,True,4,7077952,2.2010097026824953,256,0,0.0,False,2
23,24,True,8,14155904,4.397968077659607,256,0,0.0,False,2
23,24,True,16,28311808,8.797104167938233,256,0,0.0,False,2
23,24,True,24,42467712,13.192707395553589,256,0,0.0,False,2
23,24,True,32,56623616,17.58918981552124,256,0,0.0,False,2
24,25,True,1,1769488,0.5656239777803421,256,256,1.0,True,2
24,25,True,2,3538976,1.1115567982196808,256,256,1.0,True,2
24,25,True,4,7077952,2.2010097026824953,256,0,0.0,False,2
24,25,True,8,14155904,4.397968077659607,256,0,0.0,False,2
24,25,True,16,28311808,8.797104167938233,256,0,0.0,False,2
24,25,True,24,42467712,13.192707395553589,256,0,0.0,False,2
24,25,True,32,56623616,17.58918981552124,256,0,0.0,False,2
25,26,True,1,1769488,0.5656239777803421,256,256,1.0,True,2
25,26,True,2,3538976,1.1115567982196808,256,256,1.0,True,2
25,26,True,4,7077952,2.2010097026824953,256,0,0.0,False,2
25,26,True,8,14155904,4.397968077659607,256,0,0.0,False,2
25,26,True,16,28311808,8.797104167938233,256,0,0.0,False,2
25,26,True,24,42467712,13.192707395553589,256,0,0.0,False,2
25,26,True,32,56623616,17.58918981552124,256,0,0.0,False,2
26,27,True,1,1769488,0.5656239777803421,256,256,1.0,True,2
26,27,True,2,3538976,1.1115567982196808,256,256,1.0,True,2
26,27,True,4,7077952,2.2010097026824953,256,0,0.0,False,2
26,27,True,8,14155904,4.397968077659607,256,0,0.0,False,2
26,27,True,16,28311808,8.797104167938233,256,0,0.0,False,2
26,27,True,24,42467712,13.192707395553589,256,0,0.0,False,2
26,27,True,32,56623616,17.58918981552124,256,0,0.0,False,2
27,28,True,1,1769488,0.5656239777803421,256,256,1.0,True,2
27,28,True,2,3538976,1.1115567982196808,256,256,1.0,True,2
27,28,True,4,7077952,2.2010097026824953,256,0,0.0,False,2
27,28,True,8,14155904,4.397968077659607,256,0,0.0,False,2
27,28,True,16,28311808,8.797104167938233,256,0,0.0,False,2
27,28,True,24,42467712,13.192707395553589,256,0,0.0,False,2
27,28,True,32,56623616,17.58918981552124,256,0,0.0,False,2
28,29,True,1,1769488,0.5656239777803421,256,256,1.0,True,2
28,29,True,2,3538976,1.1115567982196808,256,256,1.0,True,2
28,29,True,4,7077952,2.2010097026824953,256,0,0.0,False,2
28,29,True,8,14155904,4.397968077659607,256,0,0.0,False,2
28,29,True,16,28311808,8.797104167938233,256,0,0.0,False,2
28,29,True,24,42467712,13.192707395553589,256,0,0.0,False,2
28,29,True,32,56623616,17.58918981552124,256,0,0.0,False,2
29,30,True,1,1769488,0.5656239777803421,256,256,1.0,True,2
29,30,True,2,3538976,1.1115567982196808,256,256,1.0,True,2
29,30,True,4,7077952,2.2010097026824953,256,0,0.0,False,2
29,30,True,8,14155904,4.397968077659607,256,0,0.0,False,2
29,30,True,16,28311808,8.797104167938233,256,0,0.0,False,2
29,30,True,24,42467712,13.192707395553589,256,0,0.0,False,2
29,30,True,32,56623616,17.58918981552124,256,0,0.0,False,2
30,31,True,1,1769488,0.5656239777803421,256,256,1.0,True,2
30,31,True,2,3538976,1.1115567982196808,256,256,1.0,True,2
30,31,True,4,7077952,2.2010097026824953,256,1,0.00390625,False,2
30,31,True,8,14155904,4.397968077659607,256,0,0.0,False,2
30,31,True,16,28311808,8.797104167938233,256,0,0.0,False,2
30,31,True,24,42467712,13.192707395553589,256,0,0.0,False,2
30,31,True,32,56623616,17.58918981552124,256,0,0.0,False,2
31,32,True,1,1769488,0.5656239777803421,256,256,1.0,True,2
31,32,True,2,3538976,1.1115567982196808,256,256,1.0,True,2
31,32,True,4,7077952,2.2010097026824953,256,0,0.0,False,2
31,32,True,8,14155904,4.397968077659607,256,0,0.0,False,2
31,32,True,16,28311808,8.797104167938233,256,0,0.0,False,2
31,32,True,24,42467712,13.192707395553589,256,0,0.0,False,2
31,32,True,32,56623616,17.58918981552124,256,0,0.0,False,2
32,33,True,1,1769488,0.5656239777803421,256,256,1.0,True,2
32,33,True,2,3538976,1.1115567982196808,256,256,1.0,True,2
32,33,True,4,7077952,2.2010097026824953,256,0,0.0,False,2
32,33,True,8,14155904,4.397968077659607,256,0,0.0,False,2
32,33,True,16,28311808,8.797104167938233,256,0,0.0,False,2
32,33,True,24,42467712,13.192707395553589,256,0,0.0,False,2
32,33,True,32,56623616,17.58918981552124,256,0,0.0,False,2
33,34,True,1,1769488,0.5656239777803421,256,256,1.0,True,2
33,34,True,2,3538976,1.1115567982196808,256,256,1.0,True,2
33,34,True,4,7077952,2.2010097026824953,256,0,0.0,False,2
33,34,True,8,14155904,4.397968077659607,256,0,0.0,False,2
33,34,True,16,28311808,8.797104167938233,256,0,0.0,False,2
33,34,True,24,42467712,13.192707395553589,256,0,0.0,False,2
33,34,True,32,56623616,17.58918981552124,256,0,0.0,False,2
34,35,True,1,1769488,0.5656239777803421,256,256,1.0,True,2
34,35,True,2,3538976,1.1115567982196808,256,256,1.0,True,2
34,35,True,4,7077952,2.2010097026824953,256,0,0.0,False,2
34,35,True,8,14155904,4.397968077659607,256,0,0.0,False,2
34,35,True,16,28311808,8.797104167938233,256,0,0.0,False,2
34,35,True,24,42467712,13.192707395553589,256,0,0.0,False,2
34,35,True,32,56623616,17.58918981552124,256,0,0.0,False,2
35,36,True,1,1769488,0.5656239777803421,256,256,1.0,True,2
35,36,True,2,3538976,1.1115567982196808,256,256,1.0,True,2
35,36,True,4,7077952,2.2010097026824953,256,0,0.0,False,2
35,36,True,8,14155904,4.397968077659607,256,0,0.0,False,2
35,36,True,16,28311808,8.797104167938233,256,0,0.0,False,2
35,36,True,24,42467712,13.192707395553589,256,0,0.0,False,2
35,36,True,32,56623616,17.58918981552124,256,0,0.0,False,2
36,37,True,1,1769488,0.5656239777803421,256,256,1.0,True,2
36,37,True,2,3538976,1.1115567982196808,256,256,1.0,True,2
36,37,True,4,7077952,2.2010097026824953,256,0,0.0,False,2
36,37,True,8,14155904,4.397968077659607,256,0,0.0,False,2
