source_layer,target_layer,target_layer_type,target_routed_format,offload_relevant,samples,route_to_next_router_start_mean_ms,route_to_next_router_start_p50_ms,route_to_next_router_start_p90_ms,route_to_next_router_start_p95_ms,route_to_next_router_start_p99_ms,route_to_next_router_ready_mean_ms,route_to_next_router_ready_p50_ms,route_to_next_router_ready_p90_ms,route_to_next_router_ready_p95_ms,route_to_next_router_ready_p99_ms,route_to_next_routed_expert_start_mean_ms,route_to_next_routed_expert_start_p50_ms,route_to_next_routed_expert_start_p90_ms,route_to_next_routed_expert_start_p95_ms,route_to_next_routed_expert_start_p99_ms
17,18,gdn,nvfp4,True,256,1.4330399956088513,1.4131200313568115,1.516543984413147,1.5603199899196625,1.616230374574661,1.4848793761339039,1.465343952178955,1.56876802444458,1.612543910741806,1.6684542953968045,1.6003320056479424,1.576960027217865,1.6972799897193909,1.7387518882751465,1.8483711540699004
18,19,full_attention,nvfp4,True,256,1.2866006223484874,1.2830719947814941,1.3183999061584473,1.3273600935935974,1.3542401671409605,1.3385392492637038,1.3352959156036377,1.3696000576019287,1.3798400163650513,1.4064639806747434,1.433212504722178,1.4295039176940918,1.4632960557937622,1.4737921357154846,1.5006720900535582
19,20,gdn,nvfp4,True,256,1.178974132053554,1.1775997877120972,1.1975680589675903,1.205504059791565,1.2280318140983582,1.2311126152053475,1.2298238277435303,1.2492799758911133,1.2574719190597534,1.2802559733390808,1.3266575084999204,1.3240318298339844,1.3470722436904907,1.3601282238960266,1.3755903840065002
20,21,gdn,nvfp4,True,256,1.2742966413497925,1.2748799324035645,1.3004798889160156,1.3096957206726074,1.3219327449798584,1.3259397726505995,1.326080083847046,1.351680040359497,1.360896110534668,1.3735938310623168,1.4215608965605497,1.4208002090454102,1.4510080814361572,1.4612479209899902,1.485158133506775
21,22,gdn,nvfp4,True,256,1.2721371166408062,1.27180814743042,1.2968957424163818,1.306879997253418,1.3371391534805297,1.3240804877132177,1.3235199451446533,1.3486080169677734,1.3588480949401855,1.3887999773025512,1.4186409804970026,1.4172163009643555,1.4453761577606201,1.454360008239746,1.4846974372863768
22,23,full_attention,nvfp4,True,256,1.2475483659654856,1.2400639057159424,1.276400089263916,1.343735694885254,1.3867519617080688,1.2992516290396452,1.292287826538086,1.3281121253967285,1.3951917886734009,1.4379518747329711,1.393423879519105,1.385472297668457,1.4228320121765137,1.4891440868377686,1.5321600675582885
23,24,gdn,nvfp4,True,256,1.1767446361482143,1.163264274597168,1.2277765274047852,1.2451839447021484,1.2901378631591796,1.2291394844651222,1.2170238494873047,1.2805118560791016,1.2974073886871338,1.3423620223999022,1.3432558737695217,1.3127679824829102,1.4474244117736816,1.4632964134216309,1.5029540061950684
24,25,gdn,nvfp4,True,256,1.2924452722072601,1.2707839012145996,1.3690881729125977,1.3788163661956787,1.4010878086090088,1.3457006178796291,1.3240323066711426,1.4213123321533203,1.4328312873840332,1.4533119678497315,1.441236712038517,1.4182395935058594,1.5216641426086426,1.529087781906128,1.5567360401153565
25,26,gdn,nvfp4,True,256,1.2710403837263584,1.2697601318359375,1.2999682426452637,1.3061041831970215,1.3367135524749756,1.323028054088354,1.3219842910766602,1.3516802787780762,1.3583283424377441,1.3965826988220214,1.4197005107998848,1.4162077903747559,1.4474244117736816,1.460735559463501,1.492736005783081
26,27,full_attention,nvfp4,True,256,1.23074521869421,1.2267513275146484,1.2503199577331543,1.2608006000518799,1.293875169754028,1.2850555963814259,1.2810239791870117,1.3061118125915527,1.3158397674560547,1.3487615108489988,1.3804240562021732,1.376255989074707,1.4013442993164062,1.4099996089935303,1.4425083637237546
27,28,gdn,nvfp4,True,256,1.1527164801955223,1.1489276885986328,1.1719679832458496,1.1801602840423584,1.2095489501953123,1.2051522620022297,1.2011518478393555,1.2247037887573242,1.232384443283081,1.2622340202331541,1.3013449758291245,1.297919750213623,1.3209600448608398,1.334775686264038,1.387980318069458
28,29,gdn,nvfp4,True,256,1.2641125544905663,1.25950288772583,1.2851204872131348,1.2956163883209229,1.3695487022399897,1.3167283535003662,1.3117437362670898,1.3404159545898438,1.3478639125823975,1.4213118553161617,1.4136405289173126,1.4059524536132812,1.4361600875854492,1.4428160190582275,1.51618537902832
29,30,gdn,nvfp4,True,256,1.2622847855091095,1.2574710845947266,1.2871685028076172,1.2953605651855469,1.3294586181640624,1.3147208988666534,1.3096942901611328,1.3393917083740234,1.3465595245361328,1.3822460174560545,1.4117239266633987,1.4054393768310547,1.4382085800170898,1.4443516731262207,1.4944766998291015
30,31,full_attention,nvfp4,True,256,1.2284085005521774,1.2221441268920898,1.2492809295654297,1.2584972381591797,1.301248455047607,1.2808787822723389,1.2743682861328125,1.3015031814575195,1.310720443725586,1.3534716606140134,1.3762272223830223,1.3690872192382812,1.3967361450195312,1.405184268951416,1.4495230674743649
31,32,gdn,nvfp4,True,256,1.1494532972574234,1.1489276885986328,1.1663360595703125,1.1724796295166016,1.1881979942321776,1.201396219432354,1.2011528015136719,1.2185592651367188,1.2247047424316406,1.2398597717285156,1.2984049171209335,1.2953605651855469,1.3148155212402344,1.3222413063049316,1.3973498344421387
32,33,gdn,nvfp4,True,256,1.260948769748211,1.2564468383789062,1.2815351486206055,1.2933120727539062,1.374771976470947,1.3128276988863945,1.307647705078125,1.3332481384277344,1.3455352783203125,1.426431846618652,1.4087294712662697,1.40185546875,1.42950439453125,1.4417915344238281,1.5186089515686032
33,34,gdn,nvfp4,True,256,1.258244812488556,1.255422592163086,1.2769279479980469,1.2810235023498535,1.3217795372009278,1.3104206323623657,1.307647705078125,1.3296642303466797,1.3335041999816895,1.3740036010742187,1.4049737825989723,1.4018573760986328,1.4223365783691406,1.4287362098693848,1.4684162139892578
34,35,full_attention,nvfp4,True,256,1.2241525650024414,1.2216320037841797,1.2451839447021484,1.2536320686340332,1.2769279479980469,1.2758242636919022,1.2728328704833984,1.297408103942871,1.3048324584960938,1.3285888671875,1.3706553801894188,1.3675518035888672,1.3916168212890625,1.3990402221679688,1.4252025604248046
35,36,gdn,nvfp4,True,256,1.145439587533474,1.144831657409668,1.1637754440307617,1.1663360595703125,1.1834362983703612,1.1986998990178108,1.198080062866211,1.2165117263793945,1.220865249633789,1.2351996421813964,1.2946286350488663,1.2943363189697266,1.3127670288085938,1.3160958290100098,1.3389301300048826
36,37,gdn,nvfp4,True,256,1.2539370879530907,1.251296043395996,1.2779521942138672,1.2881927490234375,1.299354076385498,1.3057632446289062,1.3025283813476562,1.3301753997802734,1.3396477699279785,1.3511174201965332,1.4011835008859634,1.397216796875,1.426431655883789,1.4369282722473145,1.4544382095336914
37,38,gdn,nvfp4,True,256,1.2573932707309723,1.2533760070800781,1.2846088409423828,1.2912635803222656,1.313587474822998,1.3095605596899986,1.3045759201049805,1.3363208770751953,1.3434886932373047,1.3658106803894043,1.4064925834536552,1.40185546875,1.432577133178711,1.4399991035461426,1.4742537498474118
38,39,full_attention,fp16,False,256,1.2275168150663376,1.2247028350830078,1.2497930526733398,1.2590093612670898,1.292646503448486,1.2793236449360847,1.2764167785644531,1.301504135131836,1.310976505279541,1.3444098472595212,1.374291181564331,1.3721599578857422,1.3972482681274414,1.4103050231933594,1.438054275512695
